"기능섹션","테스트케이스ID","테스트케이스제목","테스트유형","사전조건","테스트절차","기대결과","우선순위","출처"
"반려동물 프로필 등록","TC-001","필수 정보만 입력 후 다음 단계 진행","Happy Path","앱 최초 실행 후 로그인 완료 상태","이름·종류만 입력(품종·생년월일·성별 미입력) 후 다음 버튼 클릭","입력값이 저장되고 대표 사진 업로드 화면으로 정상 이동함","P0","기획서기반"
"반려동물 프로필 등록","TC-002","이름 미입력 시 다음 단계 진행 차단","Unhappy Path","프로필 등록 화면 진입 상태","이름 필드를 공백으로 두고 다음 버튼 클릭","이름을 입력해주세요 오류 메시지가 표시되고 다음 화면으로 이동하지 않음","P2","기획서기반"
"반려동물 프로필 등록","TC-003","이름 21자 입력 시 입력 제한","Unhappy Path","프로필 등록 화면 진입 상태","이름 필드에 21자 이상 텍스트 입력 시도","20자를 초과하는 입력이 차단되거나 저장 시 초과 안내가 표시됨","P2","기획서기반"
"반려동물 프로필 등록","TC-004","이름에 이모지 입력 시 정상 등록","Happy Path","프로필 등록 화면 진입 상태","이름 필드에 이모지 포함 텍스트(예: 콩이) 입력 후 다음 버튼 클릭","이모지가 포함된 이름이 오류 없이 저장되고 다음 화면으로 이동함","P2","기획서기반"
"반려동물 프로필 등록","TC-005","생년월일에 미래 날짜 선택 시도","Unhappy Path","프로필 등록 화면의 생년월일 캘린더 진입 상태","캘린더에서 오늘 이후 날짜 선택 시도","오늘 이후 날짜는 캘린더에서 선택 불가(비활성)로 표시됨","P2","기획서기반"
"반려동물 프로필 등록","TC-006","프로필 6번째 등록 시도(최대 5마리 제한)","Unhappy Path","동일 계정에 반려동물 프로필 5마리가 이미 등록된 상태","프로필 추가 등록 화면 진입 후 6번째 프로필 등록 시도","최대 5마리 등록 제한 안내가 표시되고 추가 등록이 차단됨","P1","기획서기반"
"반려동물 프로필 등록","TC-007","카메라 권한 미허용 상태에서 사진 촬영 시도","Edge Case","OS 설정에서 앱의 카메라 권한이 거부된 상태","대표 사진 업로드 화면에서 카메라로 촬영 선택","권한 필요 안내 팝업이 표시되고 갤러리 선택 등 대체 경로로 진행 가능하며 앱 크래시가 발생하지 않음","P1","AI추가"
"반려동물 프로필 등록","TC-008","갤러리 접근 권한 미허용 상태에서 사진 선택 시도","Edge Case","OS 설정에서 앱의 갤러리(사진) 접근 권한이 거부된 상태","대표 사진 업로드 화면에서 갤러리에서 선택 클릭","권한 필요 안내 팝업이 표시되며 업로드 화면이 유지되고 앱 크래시가 발생하지 않음","P1","AI추가"
"반려동물 프로필 등록","TC-009","지원하지 않는 파일 형식 업로드 시도","Unhappy Path","대표 사진 업로드 화면 진입 상태","GIF 또는 PDF 파일을 대표 사진으로 선택 시도","지원하지 않는 형식이라는 안내가 표시되고 업로드가 진행되지 않음","P2","기획서기반"
"반려동물 프로필 등록","TC-010","최소 해상도(512x512px) 미만 사진 업로드","Edge Case","대표 사진 업로드 화면 진입 상태","400x400px 크기의 이미지를 대표 사진으로 업로드 시도","권장 최소 해상도 미달 안내가 표시되며 업로드 허용 여부가 명확한 메시지와 함께 처리됨","P2","기획서기반"
"반려동물 프로필 등록","TC-011","명세에 없는 초고해상도 사진 업로드(최대 해상도 미정)","Edge Case","대표 사진 업로드 화면 진입 상태","8000x8000px 이상의 초고해상도 이미지를 대표 사진으로 업로드 시도","해상도 상한 초과 시 처리 결과(리사이즈 또는 업로드 차단)가 명확히 안내되며 앱이 멈추거나 크래시되지 않음","P1","AI추가"
"반려동물 프로필 등록","TC-012","10MB 초과 대용량 이미지 업로드(파일 용량 기준 명세 누락)","Edge Case","대표 사진 업로드 화면 진입 상태","10MB를 초과하는 이미지 파일을 대표 사진으로 업로드 시도","용량 초과 안내가 표시되고 업로드가 차단되며 앱이 멈추거나 크래시되지 않음","P1","AI추가"
"반려동물 프로필 등록","TC-013","사진 업로드 중 네트워크 연결 끊김","Edge Case","대표 사진 업로드가 진행 중인 상태","업로드 진행 중 기기의 네트워크 연결을 강제로 차단","업로드 실패 안내와 재시도 버튼이 표시되고 무한 로딩 상태로 남지 않음","P1","AI추가"
"반려동물 프로필 등록","TC-014","등록된 반려동물 0마리 상태의 빈 화면","Edge Case","신규 가입 후 반려동물 프로필을 한 번도 등록하지 않은 상태","홈 또는 프로필 화면 진입","반려동물을 등록해주세요 등 빈 상태 안내와 등록 유도 버튼이 표시됨","P2","AI추가"
